"Date","Price","Open","High","Low","Vol.","Change %"
"04/01/2019","25.20","25.20","25.20","25.20","0.30K","0.80%"
"03/01/2019","25.00","25.00","25.00","25.00","0.60K","-10.07%"
"02/01/2019","27.80","27.80","27.80","27.80","0.40K","-3.97%"
"01/01/2019","28.95","28.95","28.95","28.95","0.02K","0.52%"
"12/01/2018","28.80","30.40","30.40","30.40","0.37K","-0.69%"
"11/01/2018","29.00","27.85","29.85","27.85","0.43K","3.02%"
"10/01/2018","28.15","27.40","27.55","27.40","0.03K","2.36%"
"09/01/2018","27.50","26.50","26.50","26.50","0.01K","3.97%"
"08/01/2018","26.45","26.45","26.45","26.45","","2.32%"
"07/01/2018","25.85","25.85","25.85","25.85","0.01K","13.88%"
"06/01/2018","22.70","24.40","25.70","24.20","0.02K","0.67%"
"05/01/2018","22.55","22.55","22.55","22.55","0.10K","7.89%"
"04/01/2018","20.90","20.90","20.90","20.90","","-0.48%"
"03/01/2018","21.00","21.00","21.00","21.00","0.10K","-4.55%"
"02/01/2018","22.00","22.00","22.00","22.00","","-1.12%"
"01/01/2018","22.25","22.25","22.25","22.25","0.30K","-6.90%"
"12/01/2017","23.90","24.70","24.70","24.70","0.17K","2.80%"
"11/01/2017","23.25","24.80","24.80","24.80","0.40K","15.96%"
"10/01/2017","20.05","20.05","20.05","20.05","","-0.99%"
"09/01/2017","20.25","20.25","20.25","20.25","","0.50%"
"08/01/2017","20.15","20.15","20.15","20.15","","0.50%"
"07/01/2017","20.05","20.05","20.05","20.05","","-2.20%"
"06/01/2017","20.50","20.50","20.50","20.50","0.14K","3.80%"
"05/01/2017","19.75","21.50","24.30","24.30","","-13.19%"
"04/01/2017","22.75","21.50","24.30","24.30","","-2.15%"
"03/01/2017","23.25","23.25","23.25","23.25","","1.09%"
"02/01/2017","23.00","23.00","23.00","23.00","","-6.69%"
"01/01/2017","24.65","24.65","24.65","24.65","","20.83%"
"12/01/2016","20.40","20.40","20.40","20.40","0.15K","14.93%"
"11/01/2016","17.75","17.75","17.75","17.75","0.00K","-5.33%"
"10/01/2016","18.75","18.75","18.75","18.75","0.20K","-16.29%"
"09/01/2016","22.40","22.40","22.40","22.40","","-11.29%"
"08/01/2016","25.25","25.25","25.25","25.25","","-2.88%"
"07/01/2016","26.00","26.00","26.00","26.00","","-1.52%"
"06/01/2016","26.40","26.40","26.40","26.40","","-3.12%"
"05/01/2016","27.25","27.25","27.25","27.25","0.43K","-1.45%"
"04/01/2016","27.65","27.65","27.65","27.65","0.01K","-1.78%"
"03/01/2016","28.15","28.15","28.15","28.15","0.28K","-12.44%"
"02/01/2016","32.15","32.15","32.15","32.15","","-7.35%"
"01/01/2016","34.70","34.70","34.70","34.70","","0.73%"
"12/01/2015","34.45","34.45","34.45","34.45","0.28K","-4.57%"
"11/01/2015","36.10","36.10","36.10","36.10","","1.98%"
"10/01/2015","35.40","35.40","35.40","35.40","","-3.41%"
"09/01/2015","36.65","36.65","36.65","36.65","0.20K","-0.68%"
"08/01/2015","36.90","36.90","36.90","36.90","","4.53%"
"07/01/2015","35.30","35.30","35.30","35.30","","-1.26%"
"06/01/2015","35.75","35.75","35.75","35.75","0.28K","1.85%"
"05/01/2015","35.10","35.10","35.10","35.10","","-5.14%"
"04/01/2015","37.00","37.00","37.00","37.00","","-6.33%"
"03/01/2015","39.50","39.50","39.50","39.50","","1.94%"
"02/01/2015","38.75","38.75","38.75","38.75","0.10K","4.03%"
"01/01/2015","37.25","37.25","37.25","37.25","0.09K","5.67%"
"12/01/2014","35.25","35.25","35.25","35.25","0.18K","-12.42%"
"11/01/2014","40.25","37.60","37.60","37.60","0.09K","10.27%"
"10/01/2014","36.50","36.00","36.00","36.00","0.01K","3.40%"
"09/01/2014","35.30","35.30","35.30","35.30","0.09K","7.79%"
