"Date","Price","Open","High","Low","Vol.","Change %"
"01/29/2025","15,243.01","15,451.06","15,575.70","15,243.01","127.98M","-1.22%"
"01/28/2025","15,431.08","15,121.98","15,477.48","15,011.10","151.90M","2.10%"
"01/27/2025","15,113.02","15,124.83","15,245.35","15,008.81","160.33M","-0.26%"
"01/24/2025","15,151.72","15,020.11","15,202.20","14,929.24","150.60M","0.99%"
"01/23/2025","15,002.51","14,715.47","15,011.53","14,715.47","133.53M","2.22%"
"01/22/2025","14,676.93","14,565.83","14,696.76","14,484.99","92.96M","0.97%"
"01/21/2025","14,536.46","14,794.71","14,794.71","14,505.13","118.09M","-1.75%"
"01/20/2025","14,795.79","14,660.22","14,859.24","14,627.18","165.70M","1.21%"
"01/17/2025","14,618.74","14,521.34","14,672.05","14,448.21","125.47M","1.11%"
"01/16/2025","14,458.48","14,329.97","14,503.32","14,171.10","113.71M","1.25%"
"01/15/2025","14,280.33","14,341.50","14,508.92","14,155.28","131.17M","-0.31%"
"01/14/2025","14,325.15","14,391.14","14,560.34","14,303.71","132.22M","-0.51%"
"01/13/2025","14,398.15","14,501.25","14,536.58","14,340.33","124.64M","-0.68%"
"01/10/2025","14,496.66","14,523.15","14,682.70","14,403.89","137.17M","-0.36%"
"01/09/2025","14,548.42","14,367.17","14,569.48","14,343.13","155.66M","1.49%"
"01/08/2025","14,334.14","14,479.46","14,530.77","14,334.14","162.72M","-1.12%"
"01/07/2025","14,496.93","14,316.23","14,623.76","14,282.13","187.94M","1.45%"
"01/06/2025","14,289.80","14,177.17","14,319.17","14,125.14","192.87M","1.36%"
"01/03/2025","14,097.52","13,993.15","14,161.18","13,993.15","137.33M","0.83%"
"01/02/2025","13,981.30","14,006.03","14,087.83","13,883.27","141.97M","0.28%"
"12/31/2024","13,942.58","14,039.62","14,106.40","13,889.47","152.51M","-0.69%"
"12/30/2024","14,040.15","14,052.85","14,161.32","14,025.47","152.05M","0.11%"
"12/27/2024","14,024.52","14,071.53","14,119.14","13,922.00","115.72M","-0.25%"
"12/26/2024","14,059.05","14,040.95","14,084.89","13,902.17","143.47M","0.35%"
"12/25/2024","14,010.31","13,897.21","14,010.31","13,865.19","100.26M","1.34%"
"12/24/2024","13,825.22","13,799.46","13,904.83","13,615.17","120.28M","0.30%"
"12/23/2024","13,783.24","13,685.27","13,945.10","13,644.28","176.47M","0.94%"
"12/20/2024","13,654.41","13,709.01","13,734.96","13,509.34","137.89M","-0.11%"
"12/19/2024","13,669.02","13,822.15","13,839.72","13,652.61","158.14M","-1.37%"
"12/18/2024","13,859.39","13,698.36","13,940.21","13,607.89","202.73M","1.26%"
"12/17/2024","13,686.98","13,715.36","13,780.47","13,637.67","163.33M","0.23%"
"12/16/2024","13,655.19","13,826.29","13,868.87","13,655.19","186.01M","-1.04%"
"12/13/2024","13,798.13","13,707.91","13,819.45","13,654.20","144.62M","0.75%"
"12/12/2024","13,695.10","13,702.52","13,842.68","13,671.39","162.98M","0.28%"
"12/11/2024","13,656.96","13,933.43","13,977.32","13,611.34","183.16M","-1.94%"
"12/10/2024","13,927.33","14,108.44","14,108.44","13,842.67","209.15M","-1.24%"
"12/09/2024","14,102.67","14,074.12","14,108.17","13,905.65","234.34M","0.41%"
"12/06/2024","14,044.69","14,002.42","14,093.59","13,921.50","284.17M","0.96%"
"12/05/2024","13,911.28","13,778.92","13,932.16","13,767.01","253.04M","1.18%"
"12/04/2024","13,749.40","13,734.93","13,853.50","13,675.05","285.92M","0.45%"
"12/03/2024","13,687.89","13,659.90","13,755.35","13,622.97","177.99M","0.36%"
"12/02/2024","13,639.31","13,523.30","13,664.56","13,505.53","174.76M","0.85%"
"11/29/2024","13,524.68","13,604.76","13,742.66","13,445.44","199.45M","-0.54%"
"11/28/2024","13,598.64","13,402.73","13,598.64","13,402.73","175.52M","1.69%"
"11/27/2024","13,372.69","13,353.62","13,418.92","13,307.69","164.13M","0.60%"
"11/26/2024","13,293.17","13,433.76","13,479.81","13,293.17","221.00M","-0.93%"
"11/25/2024","13,418.35","13,346.81","13,464.98","13,285.49","169.01M","1.11%"
"11/22/2024","13,270.42","13,200.91","13,344.32","13,195.49","148.64M","0.49%"
"11/21/2024","13,205.13","12,901.55","13,231.19","12,806.06","142.91M","2.34%"
"11/20/2024","12,902.70","13,215.50","13,252.03","12,863.06","125.75M","-2.50%"
"11/19/2024","13,234.12","13,312.27","13,355.10","13,142.35","162.60M","-0.46%"
"11/18/2024","13,295.48","13,365.41","13,401.39","13,224.48","167.27M","-0.33%"
"11/15/2024","13,339.73","13,411.45","13,534.95","13,317.67","246.95M","-0.11%"
"11/14/2024","13,354.76","13,329.86","13,446.40","13,281.21","170.61M","0.62%"
"11/13/2024","13,272.12","13,116.94","13,353.69","13,050.34","205.04M","1.15%"
"11/12/2024","13,121.29","13,231.54","13,279.52","13,107.15","210.52M","-1.43%"
"11/11/2024","13,311.93","13,114.51","13,311.93","13,101.78","221.32M","1.69%"
"11/08/2024","13,090.86","12,898.52","13,155.57","12,897.75","289.02M","1.41%"
"11/07/2024","12,908.63","12,786.50","12,908.63","12,736.45","441.08M","1.26%"
"11/06/2024","12,748.54","12,901.76","12,964.55","12,659.09","270.37M","-1.01%"
